epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12133.3,0.84429,0.63996,1.0329,0.85633,0.84049,0.89246,0.68901,0.80086,0.62507,0.99071,0.0091882,0.0091882,0.0091882
43,12431.2,0.84664,0.63321,1.03113,0.84904,0.84965,0.8929,0.69082,0.79942,0.62341,0.99001,0.0091684,0.0091684,0.0091684
44,12725.5,0.83933,0.63263,1.02964,0.85327,0.84906,0.89327,0.69103,0.79813,0.62238,0.98947,0.0091486,0.0091486,0.0091486
45,13025.8,0.83709,0.6324,1.02702,0.85646,0.84493,0.89372,0.69185,0.7981,0.62043,0.98951,0.0091288,0.0091288,0.0091288
46,13322,0.8357,0.62925,1.02657,0.85415,0.84614,0.89295,0.6919,0.79825,0.62066,0.98978,0.009109,0.009109,0.009109
47,13613.3,0.83726,0.62839,1.02842,0.85584,0.84438,0.89186,0.6909,0.79927,0.62042,0.99059,0.0090892,0.0090892,0.0090892
48,13907.7,0.83423,0.61973,1.02519,0.85888,0.8441,0.89225,0.69041,0.80021,0.62018,0.99123,0.0090694,0.0090694,0.0090694
49,14201.9,0.83166,0.61945,1.02612,0.85967,0.84475,0.89253,0.69086,0.80025,0.61958,0.99117,0.0090496,0.0090496,0.0090496
50,14496.7,0.83313,0.61946,1.02425,0.85319,0.84948,0.89226,0.69067,0.80034,0.61927,0.99105,0.0090298,0.0090298,0.0090298
51,14791.6,0.82716,0.61812,1.02282,0.85867,0.84305,0.89183,0.69029,0.80006,0.61907,0.99055,0.00901,0.00901,0.00901
52,15088.3,0.82576,0.61397,1.02358,0.85386,0.84826,0.89182,0.69039,0.80036,0.61931,0.99061,0.0089902,0.0089902,0.0089902
53,15383.2,0.82392,0.61379,1.02222,0.85301,0.84752,0.89212,0.69076,0.79935,0.6196,0.99033,0.0089704,0.0089704,0.0089704
54,15680.1,0.82293,0.61437,1.02046,0.84783,0.85622,0.89199,0.6904,0.79921,0.61925,0.99056,0.0089506,0.0089506,0.0089506
55,15975.9,0.8256,0.61444,1.02087,0.85018,0.85598,0.89259,0.6912,0.79934,0.61879,0.99075,0.0089308,0.0089308,0.0089308
56,16270,0.81931,0.6048,1.01984,0.85117,0.85335,0.89285,0.69126,0.7995,0.61869,0.99102,0.008911,0.008911,0.008911
57,16563.6,0.81915,0.60818,1.01853,0.85233,0.85319,0.89279,0.69168,0.79981,0.61738,0.99147,0.0088912,0.0088912,0.0088912
58,16851.1,0.81803,0.60988,1.01829,0.85091,0.85902,0.89334,0.69199,0.79917,0.61641,0.99129,0.0088714,0.0088714,0.0088714
59,17137.9,0.81701,0.60712,1.0196,0.84903,0.86078,0.89318,0.69223,0.79914,0.61606,0.9914,0.0088516,0.0088516,0.0088516
60,17424.5,0.81374,0.60213,1.0165,0.84643,0.86129,0.89351,0.69237,0.7992,0.61594,0.99114,0.0088318,0.0088318,0.0088318
61,17714.6,0.81321,0.60123,1.01577,0.85377,0.851,0.89356,0.69267,0.79995,0.61682,0.99139,0.008812,0.008812,0.008812
62,18001.7,0.80555,0.59623,1.01315,0.84748,0.85759,0.89357,0.6927,0.80037,0.61697,0.99163,0.0087922,0.0087922,0.0087922
63,18294.6,0.80665,0.59155,1.01382,0.8497,0.85447,0.89361,0.69265,0.80069,0.61773,0.9917,0.0087724,0.0087724,0.0087724
64,18586.8,0.8086,0.59592,1.0135,0.84955,0.85425,0.8935,0.69278,0.80129,0.61821,0.99197,0.0087526,0.0087526,0.0087526
65,18881.8,0.80485,0.59421,1.01305,0.84758,0.85604,0.89349,0.6922,0.80181,0.61916,0.99217,0.0087328,0.0087328,0.0087328
66,19173.5,0.80199,0.59184,1.01243,0.84747,0.85561,0.89293,0.69204,0.80199,0.62041,0.99196,0.008713,0.008713,0.008713
67,19467.1,0.80481,0.59378,1.01306,0.84252,0.8583,0.89279,0.69134,0.80157,0.62087,0.99155,0.0086932,0.0086932,0.0086932
68,19758,0.8051,0.59296,1.01333,0.83858,0.86263,0.89296,0.69204,0.80157,0.62164,0.99134,0.0086734,0.0086734,0.0086734
69,20053.7,0.79985,0.58781,1.00921,0.8343,0.86853,0.89305,0.69227,0.8018,0.62125,0.99164,0.0086536,0.0086536,0.0086536
70,20343.6,0.79683,0.58431,1.00821,0.83258,0.87338,0.8932,0.69214,0.80178,0.62074,0.99157,0.0086338,0.0086338,0.0086338
71,20635.4,0.7989,0.58293,1.00881,0.82961,0.87492,0.89322,0.69304,0.80088,0.62055,0.99145,0.008614,0.008614,0.008614
72,20928.9,0.80226,0.5889,1.01088,0.85825,0.84256,0.89326,0.69301,0.80084,0.62083,0.99161,0.0085942,0.0085942,0.0085942
73,21235.3,0.79516,0.58645,1.00957,0.86156,0.84086,0.89323,0.69329,0.80123,0.62001,0.99171,0.0085744,0.0085744,0.0085744
74,21541.1,0.79447,0.58322,1.00751,0.85543,0.84535,0.89286,0.69269,0.80073,0.62071,0.99151,0.0085546,0.0085546,0.0085546
75,21846.3,0.78922,0.58027,1.00521,0.8541,0.84576,0.89274,0.69183,0.80073,0.62012,0.99148,0.0085348,0.0085348,0.0085348
76,22143.4,0.79233,0.58131,1.00708,0.85528,0.84531,0.89258,0.69179,0.8,0.61941,0.99127,0.008515,0.008515,0.008515
77,22450.4,0.78967,0.57991,1.00814,0.85392,0.84811,0.89281,0.69253,0.80046,0.61868,0.99188,0.0084952,0.0084952,0.0084952
78,22755.6,0.79011,0.58089,1.00752,0.85457,0.84701,0.89233,0.69158,0.80027,0.61822,0.99188,0.0084754,0.0084754,0.0084754
79,23052.1,0.7906,0.57872,1.00699,0.85348,0.84868,0.89255,0.69245,0.79974,0.61825,0.99156,0.0084556,0.0084556,0.0084556
