epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,279.167,1.50026,1.67538,1.44053,0.74451,0.77015,0.80482,0.53687,1.07745,0.86278,1.10759,0.0700765,0.00332483,0.00332483
2,542.261,1.21901,1.09071,1.21907,0.77207,0.7991,0.84587,0.58181,1.05346,0.83956,1.08188,0.0400633,0.00664498,0.00664498
3,803.515,1.17409,1.00739,1.18369,0.71296,0.77313,0.79105,0.53129,1.09691,0.96833,1.13871,0.010037,0.00995193,0.00995193
4,1065.04,1.15672,0.98382,1.17646,0.77459,0.81055,0.85453,0.58342,1.02736,0.84121,1.07539,0.0099406,0.0099406,0.0099406
5,1323.54,1.11877,0.92739,1.15484,0.8089,0.80341,0.85869,0.59913,1.00646,0.79617,1.06347,0.0099208,0.0099208,0.0099208
6,1583.84,1.09227,0.90034,1.14594,0.79503,0.80936,0.85345,0.59755,0.97278,0.79381,1.06908,0.009901,0.009901,0.009901
7,1845.18,1.06687,0.86285,1.13227,0.78878,0.7915,0.85276,0.61087,0.95499,0.80234,1.04099,0.0098812,0.0098812,0.0098812
8,2107.72,1.04574,0.84092,1.12054,0.754,0.7662,0.817,0.58316,0.94243,0.86714,1.04757,0.0098614,0.0098614,0.0098614
9,2369.52,1.02959,0.8253,1.11381,0.76628,0.75869,0.81604,0.57751,1.01673,0.97451,1.10856,0.0098416,0.0098416,0.0098416
10,2633.34,1.01636,0.80959,1.1096,0.82368,0.83361,0.88796,0.64075,0.91206,0.7077,1.03527,0.0098218,0.0098218,0.0098218
11,2897.89,1.00018,0.7957,1.0993,0.80192,0.83368,0.86289,0.63297,0.89827,0.7472,1.02799,0.009802,0.009802,0.009802
12,3159.56,0.99006,0.78039,1.09499,0.78169,0.83038,0.87107,0.6349,0.88387,0.72968,1.02261,0.0097822,0.0097822,0.0097822
13,3424.01,0.9741,0.76466,1.08832,0.81695,0.84624,0.87631,0.65241,0.86782,0.70416,1.00924,0.0097624,0.0097624,0.0097624
14,3685.23,0.96934,0.75787,1.0852,0.79233,0.83786,0.86662,0.63904,0.89169,0.73148,1.02911,0.0097426,0.0097426,0.0097426
15,3944.9,0.95663,0.74876,1.08004,0.79429,0.83709,0.86116,0.63337,0.89204,0.74174,1.03083,0.0097228,0.0097228,0.0097228
16,4209.17,0.94747,0.73633,1.07707,0.82996,0.85693,0.89996,0.67624,0.84576,0.64951,1.00117,0.009703,0.009703,0.009703
17,4472.71,0.9381,0.72953,1.07053,0.83725,0.82727,0.87805,0.66334,0.8295,0.68652,1.0029,0.0096832,0.0096832,0.0096832
18,4736.92,0.93602,0.72686,1.07001,0.81398,0.86387,0.89111,0.66741,0.85818,0.66784,1.01217,0.0096634,0.0096634,0.0096634
19,4998.21,0.92817,0.71739,1.06753,0.81847,0.84542,0.88035,0.65744,0.8483,0.69025,1.01366,0.0096436,0.0096436,0.0096436
20,5262.24,0.91837,0.70572,1.06245,0.82385,0.85533,0.89195,0.67514,0.83629,0.64262,1.00868,0.0096238,0.0096238,0.0096238
21,5527.83,0.9123,0.70321,1.0609,0.81313,0.85464,0.89005,0.67079,0.83622,0.65658,1.00052,0.009604,0.009604,0.009604
22,5794.51,0.91111,0.70068,1.06073,0.83818,0.84842,0.88961,0.67757,0.8199,0.64268,0.99581,0.0095842,0.0095842,0.0095842
23,6060.97,0.90452,0.69006,1.05679,0.85624,0.85103,0.90028,0.684,0.82358,0.62838,0.99961,0.0095644,0.0095644,0.0095644
24,6329.43,0.89689,0.69055,1.05463,0.84501,0.84362,0.89187,0.68001,0.81763,0.63252,0.99505,0.0095446,0.0095446,0.0095446
25,6594.19,0.89387,0.68229,1.05074,0.8408,0.84419,0.8894,0.67923,0.815,0.64439,0.9982,0.0095248,0.0095248,0.0095248
26,6860.04,0.88737,0.6752,1.04798,0.83907,0.84671,0.89081,0.68336,0.80971,0.63997,0.9914,0.009505,0.009505,0.009505
27,7125.73,0.88718,0.67401,1.04854,0.8173,0.85623,0.88941,0.68405,0.79872,0.65383,0.98454,0.0094852,0.0094852,0.0094852
28,7393.35,0.88273,0.6675,1.04713,0.81953,0.8664,0.88907,0.68165,0.79955,0.63814,0.99166,0.0094654,0.0094654,0.0094654
29,7660.19,0.87884,0.66531,1.04487,0.83613,0.86449,0.89309,0.68704,0.80334,0.6261,0.99575,0.0094456,0.0094456,0.0094456
30,7927.5,0.87345,0.66485,1.0423,0.84384,0.84765,0.8945,0.68862,0.79058,0.62855,0.98949,0.0094258,0.0094258,0.0094258
31,8194.91,0.87101,0.65842,1.0422,0.84777,0.85406,0.89535,0.68832,0.79211,0.61578,0.98864,0.009406,0.009406,0.009406
32,8459.16,0.86562,0.65565,1.04111,0.84902,0.84834,0.90074,0.69582,0.78825,0.61082,0.9844,0.0093862,0.0093862,0.0093862
33,8725.59,0.86089,0.64963,1.03679,0.84072,0.8601,0.8968,0.69133,0.79558,0.613,0.99118,0.0093664,0.0093664,0.0093664
34,8995.16,0.86108,0.64952,1.0371,0.84934,0.85028,0.89773,0.69156,0.79569,0.60758,0.98709,0.0093466,0.0093466,0.0093466
35,9262.34,0.84979,0.64098,1.03184,0.84238,0.85406,0.89929,0.69579,0.79107,0.60616,0.98507,0.0093268,0.0093268,0.0093268
36,9527.43,0.85027,0.63915,1.03507,0.85398,0.84682,0.90045,0.69834,0.78746,0.60578,0.98344,0.009307,0.009307,0.009307
